rule,support
VCG端口宿端丢失全部容量 误码率越限(LP-EXC) VCG端口源端丢失全部容量,0.00487987987987988
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量 不可用秒开始(UAS),0.004719004719004719
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量 告警指示信号(LP-AIS),0.0023058773058773057
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量 增强型远端服务缺陷指示（ERDI-S）,0.004719004719004719
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量 指针丢失(LP-LOP),0.004719004719004719
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量 误码率越限(LP-EXC),0.004719004719004719
VCG端口宿端丢失全部容量 告警指示信号(LP-AIS) 不可用秒开始(UAS),0.002842127842127842
VCG端口宿端丢失全部容量 增强型远端服务缺陷指示（ERDI-S） 不可用秒开始(UAS),0.005952380952380952
VCG端口宿端丢失全部容量 增强型远端连接缺陷指示 不可用秒开始(UAS),0.0012333762333762333
VCG端口宿端丢失全部容量 指针丢失(LP-LOP) 不可用秒开始(UAS),0.005952380952380952
VCG端口宿端丢失全部容量 误码率越限(LP-EXC) 不可用秒开始(UAS),0.006006006006006006
VCG端口宿端丢失全部容量 告警指示信号(LP-AIS) 增强型远端服务缺陷指示（ERDI-S）,0.002842127842127842
VCG端口宿端丢失全部容量 指针丢失(LP-LOP) 告警指示信号(LP-AIS),0.002842127842127842
VCG端口宿端丢失全部容量 告警指示信号(LP-AIS) 误码率越限(LP-EXC),0.002842127842127842
VCG端口宿端丢失全部容量 增强型远端连接缺陷指示 增强型远端服务缺陷指示（ERDI-S）,0.0012333762333762333
VCG端口宿端丢失全部容量 指针丢失(LP-LOP) 增强型远端服务缺陷指示（ERDI-S）,0.005952380952380952
VCG端口宿端丢失全部容量 增强型远端服务缺陷指示（ERDI-S） 误码率越限(LP-EXC),0.005952380952380952
VCG端口宿端丢失全部容量 指针丢失(LP-LOP) 增强型远端连接缺陷指示,0.0012333762333762333
VCG端口宿端丢失全部容量 增强型远端连接缺陷指示 误码率越限(LP-EXC),0.0012333762333762333
VCG端口宿端丢失全部容量 指针丢失(LP-LOP) 误码率越限(LP-EXC),0.005952380952380952
VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量 VCG端口源端丢失全部容量,0.001018876018876019
VCG端口宿端丢失部分容量 不可用秒开始(UAS) VCG端口源端丢失全部容量,0.001287001287001287
VCG端口宿端丢失部分容量 增强型远端服务缺陷指示（ERDI-S） VCG端口源端丢失全部容量,0.001287001287001287
VCG端口宿端丢失部分容量 指针丢失(LP-LOP) VCG端口源端丢失全部容量,0.001287001287001287
VCG端口宿端丢失部分容量 误码率越限(LP-EXC) VCG端口源端丢失全部容量,0.001287001287001287
VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量 不可用秒开始(UAS),0.0013406263406263406
VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量 增强型远端服务缺陷指示（ERDI-S）,0.0013406263406263406
VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量 指针丢失(LP-LOP),0.0013406263406263406
VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量 误码率越限(LP-EXC),0.0013406263406263406
VCG端口宿端丢失部分容量 告警指示信号(LP-AIS) 不可用秒开始(UAS),0.0010725010725010724
VCG端口宿端丢失部分容量 增强型远端服务缺陷指示（ERDI-S） 不可用秒开始(UAS),0.001716001716001716
VCG端口宿端丢失部分容量 指针丢失(LP-LOP) 不可用秒开始(UAS),0.001716001716001716
